Station,Lat,Lon,Date,Depth,LL_nh4,temp,sal,sig_th,hbac,Prochlorococcus,Synechococcus,eukaryotes,NH4,NO3,NO2,PO4,SiO4,urea,Kd_452,Kd_440,Kd_486,Kd_518,Kd_530,Kd_548,Kd_589,Kd_632,Kd_655,Kd_669,Kd_696,chl_a,pp24,pb24,par
1,11.995996,-140.010833,727786,1,NaN,28422,NaN,NaN,610433.7,233302.85,274.2,1171.6,NaN,NaN,NaN,NaN,NaN,NaN,256,274,272,510,549,630,1275,3622,4157,4615,5247,0.063,3.34,53.3,1065.21000092157
1,11.995996,-140.010833,727786,2,0.003,28442,NaN,NaN,607745.4,233347.7,282.9,1136.7,NaN,NaN,NaN,NaN,NaN,NaN,256,274,272,510,549,630,1275,3622,4157,4615,5247,0.0629090909090909,3.38181818181818,54.0127272727273,924.606642853409
1,11.995996,-140.010833,727786,3,0.00311111111111111,28456,34.1868755,21.6160115,605057.1,233392.55,291.6,1101.8,0.0491608073705904,0.436664635820385,0.00246323529411765,0.0390923142199054,0.550614775944321,NaN,256,274,272,510,549,630,1275,3618,4157,4611,5246,0.0628181818181818,3.42363636363636,54.7254545454545,818.025003995585
1,11.995996,-140.010833,727786,4,0.00322222222222222,28452,34.1934496392496,21.6274538239538,602368.8,233437.4,300.3,1066.9,0.0313747602819005,0.376188614398823,0.00293552036199095,0.0359487036324145,0.417231599787112,NaN,256,274,272,510,549,630,1275,3608,4154,4591,5228,0.0627272727272727,3.46545454545455,55.4381818181818,735.219158853351
1,11.995996,-140.010833,727786,5,0.00333333333333333,28451,34.1943013333333,21.6266728888889,599680.5,233482.25,309,1032,0.0342248819458178,0.389108980549641,0.00208629605688429,0.0351836577331743,0.42851012533816,NaN,256,274,272,510,549,630,1275,3592,4141,4555,5187,0.0626363636363636,3.50727272727273,56.1509090909091,669.261689528704
1,11.995996,-140.010833,727786,6,0.00344444444444444,28459,34.1966275482094,21.632241046832,596992.2,233527.1,317.7,997.1,0.0328743663958322,0.397575088607057,0.00165643180349063,0.0340654191197677,0.413873684625028,NaN,256,274,272,510,549,630,1275,3571,4118,4504,5123,0.0625454545454545,3.54909090909091,56.8636363636364,615.413207756396
1,11.995996,-140.010833,727786,7,0.00355555555555556,28454,34.1966327272727,21.6326905454545,594303.9,233571.95,326.4,962.2,0.0315238508458466,0.406041196664474,0.00122656755009696,0.0329471805063611,0.399237243911897,NaN,256,274,272,510,549,630,1275,3543,4085,4440,5038,0.0624545454545455,3.59090909090909,57.5763636363636,570.424840067878
1,11.995996,-140.010833,727786,8,0.00366666666666667,28453,34.1965425160698,21.632922405877,591615.6,233616.8,335.1,927.3,0.030173335295861,0.414507304721891,0.000796703296703297,0.0318289418929545,0.384600803198766,NaN,256,274,272,510,549,630,1275,3510,4043,4365,4932,0.0623636363636364,3.63272727272727,58.2890909090909,532.044299127686
1,11.995996,-140.010833,727786,9,0.00377777777777778,28456,34.1964764003673,21.6334563820018,588927.3,233661.65,343.8,892.4,0.0288228197458754,0.422973412779307,0.000366839043309631,0.0307107032795479,0.369964362485635,NaN,256,274,272,510,549,630,1275,3472,3991,4279,4807,0.0622727272727273,3.67454545454545,59.0018181818182,498.700279393867
1,11.995996,-140.010833,727786,10,0.00388888888888889,28454,34.1965307272727,21.6335023636364,586239,233706.5,352.5,857.5,0.0274723041958897,0.430451709870754,0,0.0295924646661413,0.358009301254989,NaN,256,274,272,510,549,630,1275,3428,3931,4183,4665,0.0621818181818182,3.71636363636364,59.7145454545455,469.282362481755
1,11.995996,-140.010833,727786,11,0.004,28439,34.1963033057851,21.6337418732782,584981.2,233920.75,353.25,860.8,0.0290845856450184,0.433055661646844,0.000332225913621262,0.029732999425416,0.368083637673919,NaN,256,274,272,510,549,630,1275,3378,3862,4080,4505,0.0620909090909091,3.75818181818182,60.4272727272727,442.99399764433
1,11.995996,-140.010833,727786,12,0.00377777777777778,28426,34.1963290909091,21.6346294545455,583723.4,234135,354,864.1,0.0310491175833839,0.435402414653016,0.000664451827242525,0.0304498351551768,0.37926065391233,NaN,256,274,272,510,549,630,1275,3324,3785,3969,4329,0.062,3.8,61.14,419.252180961957
1,11.995996,-140.010833,727786,13,0.00355555555555556,28423,34.1910603729604,21.6314807303807,582465.6,234349.25,354.75,867.4,0.0329272137353136,0.43754960055962,0.000996677740863787,0.0310512307694975,0.390410974624045,NaN,256,274,271,510,548,630,1274,3264,3700,3854,4138,0.062,3.85222222222222,61.9688888888889,397.64320406511
1,11.995996,-140.010833,727786,14,0.00333333333333333,28401,34.1885002857143,21.6314531428571,581207.8,234563.5,355.5,870.7,0.0346371892520222,0.437711049194647,0.00132890365448505,0.0308032987203312,0.402140921071815,NaN,255,273,271,510,548,629,1272,3199,3607,3734,3934,0.062,3.90444444444444,62.7977777777778,377.840808916088
1,11.995996,-140.010833,727786,15,0.00311111111111111,28389,34.1875717171717,21.6326356421356,579950,234777.75,356.25,874,0.0369569662114317,0.437682864454199,0.00166112956810631,0.0307450000466389,0.4146907529959,NaN,255,273,271,509,547,629,1269,3129,3506,3611,3717,0.062,3.95666666666667,63.6266666666667,359.585802075473
1,11.995996,-140.010833,727786,16,0.00288888888888889,28379,34.1872339285714,21.633562,578692.2,234992,357,877.3,0.0392767431708413,0.437654679713751,0.00199335548172757,0.0306867013729467,0.427240584919984,NaN,255,272,270,508,546,628,1266,3055,3398,3487,3488,0.062,4.00888888888889,64.4555555555555,342.691256979465
1,11.995996,-140.010833,727786,17,0.00266666666666667,28374,34.1870142857143,21.6339376623377,577434.4,235206.25,357.75,880.6,0.0415965201302508,0.437626494973304,0.00232558139534884,0.0306284026992545,0.439790416844068,NaN,255,272,269,507,545,627,1262,2975,3283,3362,3248,0.062,4.06111111111111,65.2844444444444,326.993438438408
1,11.995996,-140.010833,727786,18,0.00244444444444444,28368,34.186415,21.634355,576176.6,235420.5,358.5,883.9,0.0439162970896604,0.437598310232856,0.0026578073089701,0.0305701040255623,0.452340248768153,NaN,254,271,269,506,544,626,1257,2891,3162,3238,3000,0.062,4.11333333333333,66.1133333333333,312.358440318095
1,11.995996,-140.010833,727786,19,0.00222222222222222,28366,34.1861628427128,21.6347221500722,574918.8,235634.75,359.25,887.2,0.0450377293501132,0.436923159239567,0.00295739348370927,0.0305118053518701,0.461778814153798,NaN,254,270,268,504,543,625,1252,2803,3034,3117,2742,0.062,4.16555555555555,66.9422222222222,298.68075604085
1,11.995996,-140.010833,727786,20,0.002,28361,34.1861293650794,21.6347626984127,573661,235849,360,890.5,0.0447887512899897,0.434579672820715,0.00320802005012531,0.0305737082688081,0.46629539136987,NaN,254,270,267,503,541,624,1246,2710,2899,2999,2478,0.062,4.21777777777778,67.7711111111111,285.863271502387
1,11.995996,-140.010833,727786,21,0.002,28360,34.1859171428571,21.6351222857143,574599.1,235332.1,362.95,901.35,0.0455363555948695,0.423379462132925,0.00345864661654135,0.0296261200092218,0.466739349423757,NaN,253,269,266,501,540,622,1240,2613,2759,2886,2207,0.062,4.27,68.6,273.837298102274
1,11.995996,-140.010833,727786,22,0.002,28360,34.1854952380952,21.6358670995671,575537.2,234815.2,365.9,912.2,0.0462839598997494,0.412179251445135,0.00370927318295739,0.0286785317496356,0.467183307477643,NaN,253,268,265,499,538,621,1233,2511,2613,2779,1948,0.0626153846153846,4.30538461538462,68.5,262.526136084828
1,11.995996,-140.010833,727786,23,0.002,28360,34.1848778571429,21.6367738571429,576475.3,234298.3,368.85,923.05,0.0469919415631198,0.401262329167048,0.00395989974937343,0.0278118060237421,0.468367157714818,NaN,253,267,264,497,536,620,1226,2406,2462,2680,1708,0.0632307692307692,4.34076923076923,68.4,251.867940570612
1,11.995996,-140.010833,727786,24,0.002,28359,34.1844437950938,21.6375915584416,577413.4,233781.4,371.8,933.9,0.0470479285692791,0.394107123788414,0.00429710640236956,0.0276728431010831,0.476957427466625,NaN,253,267,263,495,534,618,1218,2296,2305,2577,1486,0.0638461538461538,4.37615384615385,68.3,241.810949941815
1,11.995996,-140.010833,727786,25,0.002,28359,34.184401,21.638197,578351.5,233264.5,374.75,944.75,0.0471254022343263,0.390566207869228,0.00483633325738589,0.0281686374266656,0.487935467123881,NaN,253,266,262,494,532,617,1209,2182,2144,2419,1281,0.0644615384615385,4.41153846153846,68.2,232.303316142838
1,11.995996,-140.010833,727786,26,0.002,28359,34.184104040404,21.6385200577201,579289.6,232747.6,377.7,955.6,0.0472028758993736,0.387025291950042,0.00537556011240222,0.0286644317522481,0.498913506781137,NaN,252,265,261,491,530,615,1201,2065,1978,2208,1094,0.0650769230769231,4.44692307692308,68.1,223.316035294951
1,11.995996,-140.010833,727786,27,0.002,28359,34.1841123376623,21.6387902597403,580227.7,232230.7,380.65,966.45,0.0472803495644208,0.383484376030856,0.00591478696741855,0.0291602260778306,0.509891546438392,NaN,252,264,260,489,528,613,1191,1944,1807,1955,922,0.0656923076923077,4.48230769230769,68,214.803151048948
1,11.995996,-140.010833,727786,28,0.002,28358,34.1840614285714,21.6391951428571,581165.8,231713.8,383.6,977.3,0.047357823229468,0.37994346011167,0.00645401382243487,0.0296560204034132,0.520869586095648,NaN,252,264,259,487,526,612,1182,1819,1633,1672,767,0.0663076923076923,4.51769230769231,67.9,206.725761819063
1,11.995996,-140.010833,727786,29,0.002,28358,34.1842541125541,21.6395925685426,582103.9,231196.9,386.55,988.15,0.0474352968945152,0.376402544192484,0.0069932406774512,0.0301518147289957,0.531847625752903,NaN,253,263,258,485,524,610,1172,1691,1469,1368,626,0.0669230769230769,4.55307692307692,67.8,199.052127700515
